lemma,pos,ls_key,short_def,found
1,NUM,,,False
2,NUM,,,False
3,NUM,,,False
347,NUM,,,False
4,NUM,,,False
56,NUM,,,False
77,NUM,,,False
8,NUM,,,False
Aristoteles,PROPN,aristoteles,"Ăristŏtĕles, is (gen.",True
Conradus,PROPN,,,False
Molina,PROPN,molina,"mŏlīna, v.",True
Quintus,PROPN,quintus1,"quintus (old form quinctus, Plaut.",True
Rebellus,PROPN,,,False
Rex,PROPN,rex1,"rex, rēgis (gen.",True
Sala,PROPN,,,False
Salon,PROPN,,,False
Secundus,PROPN,secundus2,"Sĕcundus, i, m.;",True
ab,ADP,ab,"ăb, ā, abs, prep.",True
accidens,NOUN,accidens,"accĭdens, entis.",True
ad,ADP,ad,"ad, prep.",True
aequalitas,NOUN,aequalitas,"aequālĭtas, ātis, f.",True
aestimatio,NOUN,aestimatio,"aestĭmātĭo, ōnis, f.",True
alias,ADV,alias,"ălĭas, adv., v.",True
aliquis,PRON,aliquis,"ălĭquis, aliquid;",True
angelus,NOUN,angelus,"angĕlus, i, m., = ἄγγελος.",True
arithmetica,ADJ,arithmetica,"ărithmētĭca, ae, and -ē, ēs, f., = ἀριθμητική (sc.",True
articulus,NOUN,articulus,"artĭcŭlus, i, m.",True
at,CCONJ,at,"at or ast, conj.",True
attendo,VERB,attendo,"attendo (adt-, Dietsch), tendi, tentum, 3, v.",True
attingo,VERB,attingo,"at-tingo (not adt-), tĭgi, tactum, 3, v.",True
aurum,NOUN,aurum,aurum (Sab.,True
autem,PART,autem,"autem, conj.",True
bene,ADV,bene,"bĕnĕ, adv.",True
caelum,VERB,caelum1,"caelum (cēlum, Serv.",True
calleo,VERB,calleo,"callĕo, ēre, v.",True
certe,ADV,certe,"certē, adv., v.",True
circumstantia,NOUN,circumstantia,"circumstantĭa, ae, f.",True
circunstantia,NOUN,,,False
circunstantium,NOUN,,,False
cognosco,VERB,cognosco,"co-gnosco, gnōvi, gnĭtum, 3 (tempp.",True
communis,ADJ,communis,"com-mūnis (comoinis, S.",True
commutatiuus,ADJ,,,False
comparatio,NOUN,comparatio2,"compărātĭo, ōnis, f.",True
comprehendents,VERB,,,False
conclus,NOUN,,,False
conclusio,NOUN,conclusio,"conclūsĭo, ōnis, f.",True
consisto,VERB,consisto,"con-sisto, stĭti, stĭtum, 3, v.",True
consuetudinarius,NOUN,consuetudinarius,"consŭētūdĭnārĭus, a, um, adj.",True
consuetudo,NOUN,consuetudo,"consŭētūdo, ĭnis, f.",True
contraho,VERB,contraho,"con-trăho, xi, ctum, 3, v.",True
controuersia,NOUN,controversia,"contrōversĭa, ae (dat.",True
conuentionalis,NOUN,conventionalis,"conventĭōnālis, e, adj.",True
coram,ADV,coram,"cōram, adv.",True
culis,VERB,,,False
cum,SCONJ,cum1,"cum (archaic form COM, found in an inscr., COM PREIVATVD;",True
de,ADP,de1,"dē, adv.: of place, down, only in the phrase susque deque, q.",True
debeo,VERB,debeo,"dēbĕo (dehibeo, Plaut.",True
deus,NOUN,deus,"dĕus, i (voc.",True
diseut,SCONJ,,,False
distantia,NOUN,distantia,"distantĭa, ae, f.",True
distributiuus,NOUN,,,False
diuisibilis,VERB,divisibilis,"dīvīsĭbĭlis, e, adj.",True
dubius,ADJ,dubius,"dŭbĭus, a, um, adj.",True
emptio,VERB,emptio,"emptĭo (emt-), ōnis, f.",True
empyreo,VERB,,,False
ergo,ADV,ergo,ergō (rarely with short o in Ov.,True
et,CCONJ,et,"ĕt, conj.",True
etiam,ADV,etiam,"ĕtĭam, conj.",True
ex,ADP,ex,"ex or ē (ex always before vowels, and elsewh.",True
excessus,VERB,excessus,"excessus, ūs, m.",True
excludo,VERB,excludo,"ex-clūdo, si, sum, 3 (perf.",True
exemplum,NOUN,exemplum,"exemplum, i, n.",True
expello,VERB,expello,"ex-pello, pŭli, pulsum, 3, v.",True
g,X,g,"G, g, indecl.",True
geometricus,ADJ,geometricus,"gĕōmē^trĭcus, a, um, adj., = γεωμετρικός, of or belonging to geometry, geometrical: geometricum quiddam explicare, Cic.",True
grannorus,NOUN,,,False
habeo,VERB,habeo,"hăbĕo, ŭi, ĭtum, 2 (archaic perf.",True
harena,NOUN,harena,"hărēna (better than ărēna, Bramb.",True
hic,DET,hic,"hīc, haec, hōc (gen.",True
homo,NOUN,homo,"hŏmo, ĭnis (archaic form hemonem hominem dicebant, Paul.",True
iam,ADV,jam,"jam, adv.",True
ignorantia,NOUN,ignorantia,"ignōrantĭa, ae, f.",True
ignotus,ADJ,ignotus1,"ignōtus, a, um, Part., from ignosco.",True
ille,DET,ille,"ille (old orthog., olle), a, ud (ollus, a, um, Enn.",True
in,ADP,in2,"in (before b and p, im;",True
inaequalitas,NOUN,inaequalitas,"ĭnaequālĭtas, ātis, f.",True
indiuisibilis,ADJ,indivisibilis,"indīvīsĭbĭlis, e, adj.",True
induco,VERB,induco,"in-dūco, xi, ctum, 3 (imp.",True
interse,NOUN,,,False
intrinsecus,ADJ,intrinsecus1,"intrinsĕcus, adv.",True
ipse,DET,ipse,"ipse (ipsus, Cato, R.",True
is,PRON,is,"is, ĕa, id (m.",True
ita,ADV,ita,"ĭta, adv.",True
ius,NOUN,jus2,"jūs, jūris (gen.",True
iuste,ADJ,juste,"justē, adv., v.",True
iustitia,NOUN,justitia,"justĭtĭa, ae, f.",True
iustus,ADJ,justus,"justus, a, um, adj.",True
iuxta,ADP,juxta,"juxtā, adv.",True
latitudo,NOUN,latitudo,"lātĭtūdo, ĭnis, f.",True
legalis,NOUN,legalis,"lēgālis, e, adj.",True
lex,NOUN,lex,"lex, lēgis, f.",True
liber,NOUN,liber2,"līber, ĕri (gen.",True
magis,ADV,magis2,"măgis, ĭdis, or măgĭda, ae, f., = μαγίς.",True
magnus,ADJ,magnus1,"magnus, a, um (archaic gen.",True
mare,NOUN,mare,"măre, is (abl.",True
mus,NOUN,mus1,"mūs, mūris (gen.",True
natura,NOUN,natura,"nātūra, ae, f.",True
naturalis,ADJ,naturalis,"nātūrālis, e, adj.",True
nobilis,ADJ,nobilis,"nōbĭlis, e (old collat.",True
non,PART,non,nōn (old collat.,True
nos,PRON,nos,"nōs, nostrum, etc., the plur.",True
numero,ADV,numero1,"nŭmĕro, āvi, ātum, 1, v.",True
numerus,NOUN,numerus,"nŭmĕrus, i, m.",True
occidentalis,NOUN,occidentalis,"occĭdentālis, e, adj.",True
omnis,DET,omnis,"omnĭs, e (omnia is freq.",True
orbis,NOUN,orbis,"orbis, is (nom.",True
orientalis,ADJ,orientalis,"ŏrĭentālis, e, adj.",True
pars,NOUN,pars,"pars, partis (gen.",True
per,ADP,per2,"pĕr-astūtŭlus, a, um, adj., very crafty: mulier, App.",True
perago,VERB,perago,"pĕr-ăgo, ēgi, actum (inf.",True
perspicio,VERB,perspicio,"perspĭcĭo, spexi, spectum, 3, v.",True
possum,VERB,possum,"possum, pŏtŭi, posse, v.",True
post,ADP,post,"post (form poste, Enn.",True
postea,ADV,postea,postĕā (in some edd.,True
prerium,ADJ,,,False
pretium,NOUN,pretium,"prĕtĭum, ii, n.",True
probabilis,ADJ,probabilis,"prŏbābĭlis, e, adj.",True
probo,VERB,probo,"prŏbo, āvi, ātum, āre, v.",True
propter,ADP,propter,"propter, adv.",True
publicus,ADJ,publicus,pūblĭcus (in inscrr.,True
quaestio,NOUN,quaestio,"quaestĭo, ōnis, f.",True
quam,ADV,quam,"quam (archaic form quamde or quande: quamde pro quam usos esse antiquos, cum multi veteres testimonio sunt, tum Ennius ...",True
qui,PRON,qui2,"quī, adv.",True
quia,SCONJ,quia,"quĭă, conj.",True
quicumque,DET,quicumque,"quīcumque (or -cunque), quaecumque, quodcumque (also separately: cum quibus erat cumque una, Ter.",True
quidem,PART,quidem,"quĭdem, adv.",True
quis,PRON,quis2,"quis, quid, pron.",True
ratio,NOUN,ratio,"rătĭo, ōnis (abl.",True
realis,ADJ,,,False
reputo,VERB,reputo,"rĕ-pŭto, āvi, ātum, 1, v.",True
res,NOUN,res,"rēs, rei (rēi with e long;",True
rescindo,VERB,rescindo,"rē-scindo, scĭdi, scissum, 3, v.",True
respectus,NOUN,respectus1,"respectus, a, um, Part.",True
restitutio,NOUN,restitutio,"rēstĭtūtĭo, ōnis, f.",True
resulto,VERB,resulto,"rĕsulto, no perf., ātum, 1, v.",True
rex,NOUN,rex1,"rex, rēgis (gen.",True
saluo,NOUN,salvo,"salvo, āvi, ātum, 1, v.",True
secundum,ADP,secundum,"sĕcundum, adv.",True
secundus,ADJ,secundus2,"Sĕcundus, i, m.;",True
sed,CCONJ,sed2,"sēd = sine, v.",True
sententia,NOUN,sententia,"sententĭa, ae, f.",True
sequor,VERB,sequor,"sĕquor, sĕcūtus (also written sequutus;",True
si,SCONJ,si,sī (orig.,True
sicut,SCONJ,sicut,sīc-ut and (far less.,True
siue,CCONJ,sive,sīve (old orthog.,True
solus,ADV,solus2,"Sŏlūs, untis, f., = Σολοῦς, a town on the northern coast of Sicily, now Castello di Solanto, Plin.",True
sui,PRON,sui,"sŭi (gen.), dat.",True
sum,AUX,sum1,"sum, fŭi, esse (2d pers.",True
sumo,VERB,sumo,"sūmo, sumpsi, sumptum, 3 (sync.",True
suus,DET,suus,"sŭus, a, um (old form sos, sa, sum;",True
taxo,VERB,taxo,"taxo, āvi, ātum, 1, v.",True
teneo,VERB,teneo,"tĕnĕo, tĕnŭi, tentum, 2 (perf.",True
terra,NOUN,terra,"terra (archaic tera, Varr.",True
