lemma,pos,translation,all_senses,ls_short,ls_found
Aristoteles,PROPN,"awn, beard of an ear of grain; ear of grain; grain crop","awn, beard of an ear of grain; ear of grain; grain crop; harvest","Ăristŏtĕles, is (gen.",True
Conradus,PROPN,"rake/sweep/draw together; amass with difficulty, scrape together; scrape off","rake/sweep/draw together; amass with difficulty, scrape together; scrape off",,False
Molina,PROPN,"struggle, labor, labor at; construct, build; undertake, set in motion, plan","struggle, labor, labor at; construct, build; undertake, set in motion, plan","mŏlīna, v.",True
Quintus,PROPN,five,five,"quintus (old form quinctus, Plaut.",True
Rebellus,PROPN,"insurgent, rebellious","insurgent, rebellious",,False
Rex,PROPN,king,king,"rex, rēgis (gen.",True
Sala,PROPN,"open sea, high sea, main, deep, ocean; sea in motion, billow, waves","open sea, high sea, main, deep, ocean; sea in motion, billow, waves",,False
Salon,PROPN,"open sea, high sea, main, deep, ocean; sea in motion, billow, waves","open sea, high sea, main, deep, ocean; sea in motion, billow, waves",,False
Secundus,PROPN,two (pl.),two (pl.),"sĕcundus, a, um, adj.",True
ab,ADP,"by (agent), from (departure, cause, remote origin/time); after (reference)","by (agent), from (departure, cause, remote origin/time); after (reference)","ăb, ā, abs, prep.",True
accidens,NOUN,"accidental happening, chance event, contingency; accident, circumstance","accidental happening, chance event, contingency; accident, circumstance","accĭdens, entis.",True
ad,ADP,about (with numerals),about (with numerals),"ad, prep.",True
aequalitas,NOUN,"evenness; equality (of age/status/merit/distribution), uniformity, symmetry","evenness; equality (of age/status/merit/distribution), uniformity, symmetry","aequālĭtas, ātis, f.",True
aestimatio,NOUN,"valuation, estimation of money value; value, price; assessment of damages","valuation, estimation of money value; value, price; assessment of damages","aestĭmātĭo, ōnis, f.",True
alias,ADV,"at/in another time/place; previously, subsequently; elsewhere","at/in another time/place; previously, subsequently; elsewhere; otherwise","ălĭas, adv., v.",True
aliquis,PRON,in some way/extent,in some way/extent,"ălĭquis, aliquid;",True
angelus,NOUN,angel; messenger,angel; messenger,"angĕlus, i, m., = ἄγγελος.",True
arithmetica,ADJ,"arithmetic, the science of arithmetic","arithmetic, the science of arithmetic","ărithmētĭca, ae, and -ē, ēs, f., = ἀριθμητική (sc.",True
articulus,NOUN,joint; portion of limb/finger between joints; part,joint; portion of limb/finger between joints; part; (critical) moment; crisis,"artĭcŭlus, i, m.",True
at,CCONJ,"but, but on the other hand; on the contrary; while, whereas","but, but on the other hand; on the contrary; while, whereas; but yet; at least","at or ast, conj.",True
attendo,VERB,"turn/stretch towards; apply; attend/pay (close) attention to, listen carefully","turn/stretch towards; apply; attend/pay (close) attention to, listen carefully","attendo (adt-, Dietsch), tendi, tentum, 3, v.",True
attingo,VERB,"touch, touch/border on; reach, arrive at, achieve; mention briefly","touch, touch/border on; reach, arrive at, achieve; mention briefly; belong to","at-tingo (not adt-), tĭgi, tactum, 3, v.",True
aurum,NOUN,"breeze, breath (of air), wind; gleam; odor, stench","breeze, breath (of air), wind; gleam; odor, stench; vapor; air (pl.), heaven",aurum (Sab.,True
autem,PART,"but (postpositive), on the other hand/contrary; while, however; moreover, also","but (postpositive), on the other hand/contrary; while, however; moreover, also","autem, conj.",True
bene,ADV,"well, very, quite, rightly, agreeably, cheaply, in good style; better; best","well, very, quite, rightly, agreeably, cheaply, in good style; better; best","bĕnĕ, adv.",True
caelum,VERB,"heaven, sky; universe, world; space","heaven, sky; universe, world; space; air, weather; Jehovah; (shortened form)","caelum (cēlum, Serv.",True
calleo,VERB,"hard/tough skin/hide, callus; callousness, lack of feeling; firm flesh/fruit","hard/tough skin/hide, callus; callousness, lack of feeling; firm flesh/fruit","callĕo, ēre, v.",True
certe,ADV,"surely, certainly, without doubt, really; at least/any rate, in all events","surely, certainly, without doubt, really; at least/any rate, in all events","certē, adv., v.",True
circumstantia,NOUN,encircling position/troop; closing of fluid round passing object; circumstance,encircling position/troop; closing of fluid round passing object; circumstance,"circumstantĭa, ae, f.",True
